Job_Title,Average_Salary,Years_Experience,Education_Level,AI_Exposure_Index,Tech_Growth_Factor,Automation_Probability_2030,Risk_Category,Skill_1,Skill_2,Skill_3,Skill_4,Skill_5,Skill_6,Skill_7,Skill_8,Skill_9,Skill_10
Teacher,57689,24,Bachelor's,0.51,1.02,0.43,Medium,0.53,0.41,0.67,0.34,0.65,1.0,0.31,0.29,0.53,0.87
Financial Analyst,94119,28,High School,0.8,1.09,0.48,Medium,0.43,0.82,0.7,0.53,0.81,0.46,0.0,0.92,0.33,0.59
AI Engineer,129885,13,Master's,0.94,1.5,0.27,Low,0.12,0.89,0.95,0.29,0.48,0.27,0.15,0.43,0.98,0.84
Software Engineer,108539,12,Bachelor's,0.88,1.26,0.53,Medium,0.17,0.99,1.0,0.4,0.35,0.35,0.43,0.53,0.74,0.78
Mechanic,55558,4,High School,0.15,0.84,0.54,High,0.51,0.39,0.38,0.5,0.27,0.28,1.0,0.06,0.26,0.71
Customer Support,43511,24,Master's,0.68,0.87,0.63,High,0.84,0.36,0.52,0.8,0.2,0.85,0.22,0.54,0.21,0.46
HR Specialist,72688,21,Bachelor's,0.46,0.82,0.32,Medium,0.41,0.67,0.76,0.38,0.91,0.6,0.18,0.76,0.43,0.54
HR Specialist,66086,15,Bachelor's,0.38,0.97,0.47,Medium,0.38,0.55,0.54,0.58,0.74,0.73,0.29,0.73,0.48,0.66
Teacher,52908,22,Master's,0.46,1.13,0.3,Low,0.22,0.54,0.67,0.56,0.7,0.91,0.43,0.34,0.65,0.78
Retail Worker,32036,6,High School,0.25,0.8,0.8,High,0.78,0.51,0.38,0.88,0.33,0.6,0.47,0.47,0.23,0.49
Retail Worker,36778,14,Bachelor's,0.08,0.68,0.78,High,0.81,0.46,0.22,1.0,0.1,0.48,0.52,0.58,0.26,0.56
Truck Driver,54575,24,High School,0.18,0.85,0.95,High,0.8,0.21,0.41,0.83,0.3,0.19,0.52,0.27,0.14,0.44
Teacher,63558,22,Master's,0.22,1.05,0.22,Low,0.22,0.62,0.62,0.45,0.65,0.92,0.16,0.26,0.53,0.78
Mechanic,46836,25,Bachelor's,0.26,1.01,0.59,Medium,0.63,0.55,0.79,0.58,0.3,0.3,0.9,0.17,0.33,0.62
Mechanic,56355,1,High School,0.32,0.81,0.51,Medium,0.65,0.55,0.69,0.64,0.37,0.36,0.92,0.2,0.31,0.62
Customer Support,41147,25,Bachelor's,0.64,0.86,0.73,High,0.7,0.55,0.55,0.9,0.52,0.72,0.29,0.62,0.42,0.42
Chef,52394,20,Bachelor's,0.4,0.94,0.62,Medium,0.42,0.24,0.49,0.55,0.52,0.42,0.93,0.39,0.9,0.74
Retail Worker,36506,19,High School,0.21,0.63,0.79,High,0.71,0.45,0.17,0.98,0.32,0.55,0.23,0.64,0.19,0.62
Graphic Designer,69559,25,High School,0.81,1.17,0.54,Medium,0.04,0.74,0.6,0.3,0.35,0.66,0.49,0.19,0.91,0.65
Doctor,189538,19,PhD,0.64,1.34,0.14,Low,0.27,0.59,0.75,0.33,0.83,0.83,1.0,0.41,0.62,0.91
Research Scientist,115167,6,PhD,0.62,1.15,0.05,Low,0.41,1.0,0.88,0.4,0.76,0.54,0.6,0.67,0.91,0.52
Construction Worker,50638,12,High School,0.07,0.61,0.82,High,0.58,0.0,0.47,0.77,0.35,0.31,0.96,0.0,0.03,0.79
Customer Support,38556,30,Bachelor's,0.79,1.05,0.72,High,0.74,0.5,0.19,0.79,0.17,0.87,0.24,0.51,0.15,0.39
Data Scientist,112916,13,Bachelor's,0.88,1.33,0.45,Medium,0.29,1.0,0.8,0.35,0.55,0.32,0.19,0.7,0.54,0.58
Construction Worker,48979,0,High School,0.0,0.79,0.85,High,0.9,0.2,0.43,0.72,0.19,0.28,0.86,0.18,0.15,0.74
Teacher,63191,1,Master's,0.32,0.98,0.09,Medium,0.27,0.37,0.45,0.64,0.86,0.88,0.36,0.43,0.91,0.91
UX Researcher,123600,4,Master's,0.59,1.04,0.38,Medium,0.19,0.7,0.64,0.32,0.52,0.66,0.24,0.39,0.97,0.79
Retail Worker,37432,0,High School,0.42,0.58,0.95,High,0.8,0.55,0.31,0.71,0.35,0.65,0.3,0.48,0.11,0.36
Security Guard,37675,11,Bachelor's,0.1,0.73,0.65,High,0.89,0.49,0.26,0.86,0.13,0.35,0.44,0.41,0.1,0.52
AI Engineer,163783,24,Master's,1.0,1.5,0.31,Low,0.23,0.89,0.88,0.11,0.54,0.38,0.25,0.4,0.81,0.88
AI Engineer,120799,23,Master's,1.0,1.5,0.14,Low,0.03,0.95,0.83,0.26,0.52,0.12,0.04,0.5,0.83,0.71
UX Researcher,92010,14,Master's,0.68,1.14,0.39,Medium,0.26,0.63,0.79,0.18,0.53,0.8,0.21,0.46,0.9,0.64
Customer Support,41143,0,Bachelor's,0.63,1.01,0.81,High,0.78,0.39,0.45,0.94,0.05,0.72,0.26,0.58,0.24,0.44
Data Scientist,124460,6,Master's,0.63,1.5,0.4,Medium,0.31,0.88,1.0,0.33,0.63,0.36,0.15,0.76,0.64,0.66
Graphic Designer,67239,11,Bachelor's,0.66,1.23,0.49,Medium,0.23,1.0,0.69,0.27,0.52,0.56,0.4,0.1,0.71,0.56
Doctor,199965,26,PhD,0.56,1.16,0.15,Low,0.2,0.87,0.93,0.18,0.88,0.68,0.92,0.48,0.35,1.0
Mechanic,59827,19,High School,0.21,0.86,0.62,Medium,0.63,0.36,0.76,0.83,0.32,0.42,0.85,0.12,0.38,0.61
Research Scientist,134921,12,PhD,0.87,1.23,0.08,Low,0.21,0.85,0.95,0.33,0.8,0.35,0.67,0.5,0.76,0.74
Financial Analyst,89192,23,Master's,0.63,1.14,0.58,Medium,0.58,0.71,0.79,0.74,0.64,0.59,0.12,0.78,0.22,0.65
UX Researcher,91118,21,Master's,0.77,1.2,0.4,Low,0.27,0.79,0.83,0.19,0.84,0.81,0.31,0.57,0.85,0.72
UX Researcher,95528,0,PhD,0.78,1.18,0.15,Low,0.12,0.85,0.99,0.43,0.76,0.75,0.2,0.49,0.81,0.81
Security Guard,44725,5,Master's,0.18,0.72,0.8,High,0.63,0.45,0.38,0.76,0.1,0.23,0.58,0.51,0.0,0.47
Security Guard,41902,19,Master's,0.05,0.77,0.83,High,0.77,0.47,0.37,0.65,0.18,0.37,0.23,0.49,0.08,0.67
Nurse,92012,10,Bachelor's,0.38,0.98,0.31,Medium,0.58,0.71,0.67,0.29,0.86,0.91,0.8,0.5,0.32,0.79
Graphic Designer,59846,23,Bachelor's,0.76,1.23,0.23,Medium,0.14,0.75,0.6,0.25,0.33,0.61,0.57,0.35,0.63,0.71
AI Engineer,140096,17,Bachelor's,0.9,1.48,0.14,Medium,0.32,0.69,0.87,0.16,0.46,0.22,0.09,0.68,0.89,0.93
Chef,48704,26,Bachelor's,0.28,0.97,0.64,Medium,0.57,0.19,0.65,0.65,0.48,0.47,0.88,0.16,0.87,0.84
Data Scientist,158190,2,PhD,0.9,1.3,0.25,Low,0.26,1.0,0.79,0.36,0.66,0.37,0.23,0.67,0.69,0.68
Marketing Manager,119034,9,Bachelor's,0.71,1.24,0.47,Medium,0.25,0.8,0.63,0.26,0.64,0.76,0.07,0.68,0.59,0.87
Marketing Manager,109351,12,Bachelor's,0.65,1.43,0.31,Medium,0.32,0.69,0.65,0.44,0.8,0.81,0.21,0.52,0.76,0.69
Construction Worker,55972,13,High School,0.31,0.9,0.79,High,0.73,0.03,0.37,0.77,0.22,0.28,0.8,0.13,0.15,0.72
Research Scientist,114760,23,PhD,0.71,1.26,0.2,Low,0.22,0.8,0.94,0.13,0.8,0.45,0.73,0.7,0.97,0.8
Customer Support,33228,11,Bachelor's,0.58,0.77,0.35,High,0.52,0.37,0.34,0.8,0.35,0.73,0.22,0.52,0.14,0.36
Mechanic,53111,16,Bachelor's,0.17,0.93,0.73,Medium,0.51,0.26,0.6,0.71,0.21,0.66,0.95,0.22,0.21,0.77
Data Scientist,101766,20,Bachelor's,0.8,1.5,0.25,Medium,0.24,0.91,1.0,0.29,0.71,0.33,0.2,0.98,0.54,0.88
Software Engineer,113976,28,PhD,0.77,1.5,0.15,Low,0.37,0.84,0.96,0.4,0.56,0.24,0.23,0.58,0.69,0.76
Research Scientist,121827,7,PhD,0.6,1.26,0.24,Low,0.22,0.77,0.94,0.36,0.76,0.51,0.78,0.65,0.79,0.53
Financial Analyst,78898,25,Bachelor's,0.65,1.25,0.59,Medium,0.54,0.82,0.73,0.47,0.49,0.51,0.2,0.97,0.4,0.5
Marketing Manager,105913,28,Bachelor's,0.55,1.29,0.36,Medium,0.39,0.65,0.71,0.35,0.76,0.67,0.22,0.45,0.93,0.61
Financial Analyst,81992,5,Bachelor's,0.79,1.27,0.48,Medium,0.48,0.76,0.84,0.62,0.7,0.25,0.23,0.99,0.41,0.61
Financial Analyst,92406,27,Bachelor's,0.6,1.3,0.49,Medium,0.45,0.94,0.93,0.56,0.56,0.55,0.36,0.85,0.36,0.47
Marketing Manager,100296,6,Master's,0.54,1.15,0.44,Medium,0.17,0.61,0.6,0.32,0.8,0.72,0.36,0.4,0.9,0.68
Retail Worker,38592,6,Bachelor's,0.17,0.99,0.71,High,0.8,0.47,0.19,0.84,0.22,0.65,0.43,0.75,0.14,0.45
Nurse,94020,8,Bachelor's,0.4,1.12,0.13,Medium,0.34,0.54,0.64,0.52,0.74,0.84,0.72,0.55,0.24,0.86
Retail Worker,33954,9,Bachelor's,0.08,0.82,0.72,High,0.82,0.25,0.45,0.98,0.14,0.56,0.43,0.53,0.27,0.7
Retail Worker,30637,15,High School,0.31,0.79,0.83,High,0.78,0.32,0.16,0.73,0.2,0.78,0.35,0.52,0.2,0.62
Lawyer,128424,24,PhD,0.86,1.05,0.25,Low,0.55,0.55,0.85,0.5,0.87,0.88,0.26,0.66,0.56,0.91
Doctor,242778,26,PhD,0.33,1.18,0.14,Low,0.28,0.75,1.0,0.32,0.94,0.96,0.88,0.41,0.62,0.82
Marketing Manager,91350,12,Bachelor's,0.65,1.34,0.38,Medium,0.34,0.66,0.7,0.53,0.82,0.7,0.06,0.57,0.86,0.92
AI Engineer,149786,1,Master's,0.77,1.5,0.18,Low,0.17,0.92,0.92,0.36,0.59,0.33,0.26,0.52,0.76,0.82
Graphic Designer,61852,12,Bachelor's,0.71,1.14,0.43,Medium,0.31,0.7,0.61,0.23,0.52,0.45,0.54,0.24,1.0,0.59
Construction Worker,45885,6,High School,0.12,0.68,0.95,High,0.64,0.39,0.36,0.48,0.24,0.25,0.7,0.17,0.22,0.74
Marketing Manager,102223,21,High School,0.78,1.35,0.38,Medium,0.17,0.79,0.77,0.39,0.98,0.59,0.05,0.43,0.8,0.72
HR Specialist,67927,28,Bachelor's,0.3,0.92,0.34,Medium,0.38,0.64,0.47,0.64,0.69,0.91,0.23,0.75,0.46,0.64
Truck Driver,55442,5,High School,0.17,0.8,0.95,High,0.86,0.43,0.42,0.97,0.19,0.34,0.53,0.48,0.1,0.36
UX Researcher,94957,5,Bachelor's,0.73,1.32,0.27,Medium,0.21,0.73,0.88,0.23,0.56,0.61,0.25,0.26,0.64,0.78
Chef,49862,19,Bachelor's,0.23,0.93,0.62,Medium,0.58,0.34,0.6,0.6,0.6,0.28,1.0,0.29,0.78,0.8
HR Specialist,63540,28,Bachelor's,0.63,1.08,0.27,Medium,0.42,0.4,0.58,0.43,0.6,0.77,0.38,0.76,0.34,0.66
HR Specialist,72054,11,Bachelor's,0.49,1.0,0.62,Medium,0.54,0.69,0.61,0.44,0.77,0.84,0.29,0.76,0.5,0.55
AI Engineer,177607,8,Master's,0.87,1.4,0.24,Low,0.33,0.92,1.0,0.13,0.77,0.32,0.13,0.45,0.77,0.84
Truck Driver,52586,13,High School,0.25,0.79,0.88,High,0.85,0.24,0.4,1.0,0.37,0.24,0.6,0.31,0.16,0.4
Research Scientist,121065,18,Bachelor's,0.69,1.21,0.07,Low,0.17,0.73,0.94,0.36,0.65,0.56,0.58,0.45,0.82,0.8
Lawyer,123416,7,Master's,0.65,1.21,0.33,Low,0.47,0.55,1.0,0.4,0.78,0.79,0.27,0.54,0.65,0.94
Customer Support,40023,18,Bachelor's,0.49,0.8,0.89,High,0.64,0.54,0.45,0.83,0.24,0.73,0.2,0.72,0.25,0.46
Mechanic,52842,27,High School,0.31,0.98,0.6,Medium,0.68,0.12,0.81,0.43,0.26,0.29,0.77,0.32,0.25,0.73
Truck Driver,44851,12,High School,0.35,0.69,0.95,High,0.8,0.35,0.41,0.77,0.3,0.15,0.44,0.26,0.25,0.59
Doctor,224667,19,PhD,0.46,1.18,0.17,Low,0.17,0.67,0.87,0.41,0.84,0.94,1.0,0.42,0.47,0.88
HR Specialist,71050,20,Bachelor's,0.49,0.96,0.35,Medium,0.39,0.6,0.67,0.51,0.77,0.79,0.21,0.5,0.49,0.63
UX Researcher,88645,11,Bachelor's,0.5,1.28,0.2,Low,0.3,0.51,1.0,0.29,0.71,0.7,0.36,0.39,0.74,0.89
Data Scientist,131688,24,PhD,0.99,1.37,0.43,Low,0.28,0.92,0.99,0.35,0.62,0.44,0.44,0.79,0.62,0.81
Marketing Manager,88459,0,Bachelor's,0.52,1.37,0.5,Medium,0.41,0.82,0.76,0.29,0.96,0.59,0.23,0.42,0.79,0.73
Data Scientist,121863,25,Master's,0.93,1.25,0.23,Low,0.33,0.94,1.0,0.35,0.58,0.5,0.32,0.68,0.66,0.77
Doctor,212060,24,PhD,0.56,1.21,0.13,Low,0.17,0.84,0.88,0.21,0.78,0.9,0.79,0.26,0.66,0.82
Truck Driver,60380,28,High School,0.16,0.96,0.95,High,0.7,0.08,0.34,0.77,0.36,0.3,0.53,0.53,0.2,0.47
Mechanic,41240,13,Bachelor's,0.21,0.95,0.61,Medium,0.35,0.63,0.56,0.44,0.4,0.64,1.0,0.26,0.36,0.79
Retail Worker,31765,1,High School,0.43,0.88,0.69,High,0.88,0.43,0.31,0.79,0.12,0.57,0.23,0.49,0.1,0.39
HR Specialist,77004,0,Bachelor's,0.44,0.9,0.67,Medium,0.42,0.74,0.69,0.34,0.6,0.89,0.1,0.68,0.46,0.5
Software Engineer,118547,8,Bachelor's,0.86,1.34,0.33,Medium,0.31,0.77,0.84,0.33,0.34,0.44,0.3,0.66,0.72,0.84
HR Specialist,66683,27,Bachelor's,0.58,1.09,0.48,Medium,0.41,0.56,0.61,0.55,0.7,0.8,0.13,0.63,0.26,0.77
Research Scientist,90532,17,PhD,0.56,1.33,0.11,Low,0.08,0.83,0.83,0.39,0.67,0.52,0.63,0.63,0.72,0.91
Doctor,261852,6,PhD,0.41,1.11,0.14,Low,0.08,0.73,0.96,0.24,0.78,0.89,0.9,0.39,0.6,1.0
Chef,51400,25,High School,0.22,0.96,0.68,Medium,0.44,0.16,0.69,0.86,0.52,0.56,1.0,0.14,0.86,0.96
Financial Analyst,99504,21,High School,0.85,1.12,0.56,High,0.46,0.78,0.64,0.5,0.54,0.28,0.2,0.82,0.42,0.34
Research Scientist,128213,19,PhD,0.67,1.27,0.11,Low,0.23,0.98,0.7,0.34,0.82,0.28,0.87,0.64,0.73,0.69
HR Specialist,72460,25,Master's,0.47,1.21,0.41,Medium,0.46,0.61,0.65,0.41,0.72,0.66,0.19,0.61,0.33,0.72
Nurse,78021,21,Master's,0.45,1.07,0.15,Low,0.51,0.66,0.59,0.37,0.72,0.91,1.0,0.54,0.32,0.77
Graphic Designer,68163,10,Master's,0.57,1.31,0.58,Medium,0.21,0.78,0.67,0.4,0.32,0.47,0.42,0.25,0.79,0.38
Data Scientist,120848,5,Master's,0.77,1.31,0.32,Medium,0.34,1.0,0.9,0.38,0.61,0.39,0.29,0.77,0.63,0.73
Security Guard,39367,11,Master's,0.05,0.68,0.67,High,0.73,0.4,0.38,0.72,0.25,0.31,0.5,0.5,0.21,0.65
Mechanic,47917,19,High School,0.22,0.92,0.71,Medium,0.6,0.48,0.84,0.66,0.3,0.27,0.79,0.17,0.24,0.68
Teacher,58696,10,Master's,0.38,0.97,0.05,Medium,0.31,0.65,0.59,0.55,0.71,0.7,0.21,0.39,0.48,0.86
Financial Analyst,97290,13,Master's,0.81,1.29,0.5,Medium,0.65,0.92,0.68,0.75,0.61,0.37,0.14,0.87,0.36,0.52
Marketing Manager,69376,10,Bachelor's,0.57,1.18,0.35,Medium,0.32,0.7,0.74,0.52,0.89,0.55,0.0,0.59,0.66,0.68
Research Scientist,106093,4,PhD,0.7,1.33,0.05,Low,0.08,0.72,0.95,0.38,0.64,0.14,0.65,0.64,0.65,0.72
Graphic Designer,60125,9,High School,0.74,1.12,0.45,Medium,0.2,0.86,0.61,0.2,0.52,0.58,0.6,0.11,0.86,0.51
Research Scientist,125182,5,PhD,0.7,1.38,0.21,Low,0.18,1.0,0.76,0.14,0.85,0.38,0.63,0.7,0.74,0.88
Lawyer,131752,22,PhD,0.7,1.19,0.24,Low,0.37,0.55,1.0,0.34,0.87,0.73,0.33,0.86,0.5,0.72
Construction Worker,48206,6,High School,0.07,0.67,0.8,High,0.75,0.13,0.7,0.71,0.16,0.32,0.67,0.0,0.32,0.73
Chef,48434,20,PhD,0.07,0.88,0.75,Medium,0.4,0.35,0.82,0.67,0.7,0.32,0.76,0.35,0.77,0.77
Data Scientist,124406,27,Bachelor's,0.69,1.27,0.18,Medium,0.43,0.96,0.95,0.52,0.54,0.49,0.21,0.83,0.75,0.75
Lawyer,135256,19,PhD,0.97,1.15,0.27,Low,0.35,0.71,0.86,0.32,0.7,0.5,0.41,0.59,0.48,0.77
Graphic Designer,39171,20,Bachelor's,0.71,1.22,0.44,Medium,0.23,0.88,0.69,0.24,0.38,0.63,0.58,0.36,0.95,0.67
Chef,47479,19,Bachelor's,0.15,0.88,0.53,Medium,0.57,0.42,0.72,0.47,0.64,0.33,0.85,0.26,0.92,0.8
Doctor,224491,0,PhD,0.46,1.24,0.05,Low,0.23,0.87,0.92,0.46,0.86,0.72,0.98,0.44,0.63,0.97
Nurse,85363,7,Bachelor's,0.66,1.18,0.07,Medium,0.39,0.48,0.68,0.31,0.54,0.96,0.97,0.54,0.18,0.84
Customer Support,42160,0,High School,0.35,0.83,0.77,High,0.82,0.44,0.39,0.8,0.22,0.86,0.19,0.64,0.11,0.46
Financial Analyst,76339,10,Bachelor's,0.75,1.19,0.44,Medium,0.57,0.76,0.87,0.56,0.62,0.49,0.06,0.72,0.25,0.63
Construction Worker,52049,20,High School,0.01,0.66,0.7,Medium,0.64,0.46,0.44,0.72,0.35,0.5,1.0,0.22,0.3,0.86
Customer Support,37856,3,Bachelor's,0.56,1.03,0.62,High,0.78,0.44,0.32,0.8,0.28,0.75,0.27,0.7,0.21,0.65
Security Guard,35326,0,High School,0.16,0.78,0.69,High,0.69,0.28,0.33,0.61,0.19,0.39,0.65,0.56,0.0,0.79
Teacher,63243,5,Bachelor's,0.32,1.11,0.11,Medium,0.42,0.66,0.58,0.4,0.66,1.0,0.49,0.55,0.55,0.69
Marketing Manager,97767,3,Bachelor's,0.69,1.5,0.5,Medium,0.31,0.52,0.73,0.39,0.75,0.54,0.25,0.45,0.68,0.41
HR Specialist,71577,0,Bachelor's,0.51,1.08,0.39,Medium,0.4,0.78,0.77,0.45,0.64,0.85,0.1,0.73,0.48,0.72
Security Guard,38517,23,Master's,0.2,0.5,0.79,High,0.79,0.28,0.31,0.72,0.18,0.44,0.59,0.42,0.25,0.57
Teacher,66099,2,Master's,0.19,1.02,0.18,Medium,0.3,0.53,0.36,0.59,0.77,0.87,0.31,0.45,0.44,0.75
HR Specialist,71289,7,Master's,0.64,1.07,0.35,Medium,0.48,0.47,0.63,0.36,0.75,0.8,0.04,0.82,0.33,0.52
Lawyer,145271,24,PhD,0.66,1.14,0.24,Low,0.32,0.71,0.8,0.41,0.84,0.77,0.22,0.66,0.42,0.81
Research Scientist,115108,30,PhD,0.6,1.43,0.05,Low,0.09,0.61,0.94,0.39,0.46,0.3,0.76,0.81,0.8,0.63
Lawyer,127487,15,PhD,0.66,1.07,0.62,Medium,0.28,0.74,0.84,0.32,0.75,0.6,0.21,0.86,0.53,0.77
AI Engineer,132427,28,Master's,0.96,1.5,0.28,Low,0.17,0.74,0.99,0.19,0.58,0.62,0.23,0.42,0.76,0.91
Security Guard,38298,16,Master's,0.18,0.75,0.84,High,0.81,0.16,0.49,0.73,0.39,0.51,0.46,0.63,0.11,0.69
Teacher,67029,15,Bachelor's,0.25,1.04,0.19,Medium,0.35,0.52,0.54,0.6,0.67,0.86,0.2,0.44,0.81,0.69
Truck Driver,59242,13,High School,0.25,0.79,0.95,High,0.8,0.44,0.39,0.95,0.09,0.24,0.58,0.4,0.22,0.76
Marketing Manager,92171,17,PhD,0.79,1.01,0.36,Low,0.36,0.73,0.72,0.36,0.83,0.67,0.22,0.63,0.7,0.81
Doctor,212095,19,PhD,0.31,1.22,0.07,Low,0.33,0.69,0.69,0.14,0.93,0.9,0.8,0.35,0.58,0.95
Mechanic,57549,20,High School,0.34,0.92,0.55,Medium,0.58,0.36,0.66,0.51,0.46,0.37,1.0,0.35,0.4,0.66
Lawyer,123158,26,PhD,0.79,1.07,0.25,Low,0.34,0.6,0.81,0.43,0.68,0.82,0.15,0.72,0.53,0.77
UX Researcher,105595,0,Master's,0.74,1.36,0.39,Low,0.26,0.75,0.89,0.17,0.61,0.99,0.2,0.43,0.85,0.72
AI Engineer,158622,4,Bachelor's,0.96,1.5,0.13,Medium,0.24,0.95,0.96,0.31,0.64,0.28,0.27,0.69,0.79,0.7
HR Specialist,72314,22,High School,0.42,1.01,0.55,Medium,0.51,0.59,0.38,0.58,0.65,0.79,0.23,0.72,0.47,0.56
HR Specialist,83679,15,Bachelor's,0.41,1.18,0.26,Medium,0.45,0.57,0.67,0.56,0.61,0.91,0.15,0.78,0.44,0.78
Financial Analyst,106379,20,Master's,0.69,1.22,0.41,Medium,0.48,0.77,0.7,0.57,0.68,0.24,0.09,0.79,0.5,0.67
Research Scientist,136065,16,PhD,0.54,1.38,0.24,Low,0.19,0.88,0.91,0.42,0.61,0.42,0.8,0.65,0.82,0.8
Doctor,211869,26,PhD,0.29,1.22,0.09,Low,0.0,0.77,0.83,0.02,0.85,1.0,0.89,0.5,0.66,1.0
Truck Driver,59372,8,High School,0.21,0.77,0.77,High,0.96,0.37,0.41,0.74,0.18,0.12,0.82,0.28,0.11,0.56
Security Guard,43128,0,Master's,0.25,0.82,0.79,High,0.8,0.47,0.34,0.82,0.13,0.27,0.44,0.5,0.06,0.53
Teacher,72995,8,Bachelor's,0.35,0.94,0.05,Medium,0.16,0.59,0.45,0.58,0.71,0.75,0.27,0.32,0.63,0.93
Financial Analyst,99489,0,Bachelor's,0.74,1.28,0.51,Medium,0.31,0.81,0.68,0.67,0.62,0.32,0.17,0.82,0.51,0.5
Chef,47055,0,Bachelor's,0.19,0.91,0.51,Medium,0.69,0.29,0.63,0.45,0.42,0.24,0.93,0.25,0.64,0.89
AI Engineer,153429,4,Master's,0.85,1.48,0.27,Medium,0.15,0.91,1.0,0.29,0.57,0.21,0.0,0.43,0.78,0.7
AI Engineer,128142,3,Master's,1.0,1.48,0.1,Low,0.19,0.91,0.88,0.13,0.62,0.34,0.09,0.64,0.79,0.8
Truck Driver,56107,29,High School,0.2,1.0,0.8,High,0.87,0.32,0.5,0.93,0.14,0.24,0.49,0.31,0.1,0.48
Security Guard,40199,15,Master's,0.19,0.83,0.76,High,0.79,0.11,0.35,0.81,0.22,0.3,0.63,0.41,0.2,0.64
Nurse,79370,25,Bachelor's,0.33,1.16,0.24,Low,0.34,0.78,0.58,0.49,0.7,0.83,0.94,0.47,0.33,0.83
UX Researcher,104404,7,PhD,0.77,1.41,0.32,Low,0.19,0.88,0.88,0.13,0.73,0.63,0.4,0.61,0.69,0.66
Mechanic,55495,10,High School,0.08,0.91,0.62,Medium,0.49,0.38,0.67,0.68,0.43,0.54,0.84,0.18,0.13,0.62
Lawyer,102229,15,PhD,0.83,1.08,0.26,Low,0.4,0.76,0.78,0.34,0.8,0.73,0.12,0.74,0.45,0.8
Security Guard,45437,10,Master's,0.0,0.75,0.95,High,0.85,0.3,0.36,0.79,0.19,0.36,0.47,0.66,0.16,0.57
Chef,40460,1,Master's,0.18,0.95,0.55,Medium,0.57,0.27,0.82,0.64,0.59,0.44,0.74,0.09,0.68,0.81
